id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
967314284877856989,Rental unit in Boston · 1 bedroom · 1 bed · 0 shared baths,297860058,Ferran,,Roxbury,42.326867584866434,-71.0777405736986,Private room,76,91,0,,,146,295,0,
967486254656338657,Home in Boston · 4 bedrooms · 5 beds · 3 baths,8441226,Justin,,Allston,42.36193716889646,-71.13295433294668,Entire home/apt,549,3,0,,,4,58,0,STR-418699
967982307999324156,Rental unit in Boston · Studio · 1 bed · 1 bath,107434423,Blueground,,Back Bay,42.35308149999999,-71.0721938,Entire home/apt,,32,0,,,339,0,0,
968230020613634381,Home in Boston · 3 bedrooms · 4 beds · 3.5 baths,383930895,Karla,,Bay Village,42.3496468,-71.06902389999999,Entire home/apt,440,91,0,,,1,269,0,
968593353964170175,Rental unit in Boston · Studio · 1 bed · 1 bath,107434423,Blueground,,Roxbury,42.33884,-71.08177,Entire home/apt,182,32,0,,,339,291,0,
968756887106715089,Rental unit in Boston · ★5.0 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.341083874649065,-71.09549691842322,Entire home/apt,99,1,5,2023-12-14,2.38,87,329,5,STR-540386
968895944857297752,Rental unit in Boston · ★4.57 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.3417,-71.0935,Entire home/apt,64,1,7,2023-12-05,3.28,87,349,7,STR-540387
968896521543854465,Rental unit in Boston · ★4.80 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.33951673701451,-71.09350181962292,Entire home/apt,64,1,5,2023-12-04,2.54,87,358,5,STR-540389
968897133097214213,Rental unit in Boston · ★3.67 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.341240221689695,-71.09401042139574,Entire home/apt,51,1,3,2023-11-28,1.17,87,361,3,STR-540390
968897464379856942,Rental unit in Boston · ★4.29 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.34013,-71.0956,Entire home/apt,54,1,6,2023-11-12,2.28,87,0,6,STR-540391
968898839815162155,Rental unit in Boston · ★5.0 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.34128993702194,-71.09383314631357,Entire home/apt,121,1,5,2023-12-10,2.03,87,362,5,STR-540401
969458540661079563,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Fenway,42.34449130000001,-71.086708,Entire home/apt,248,32,0,,,339,351,0,
