id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
33199688,Home in Jersey City · ★4.58 · 1 bedroom · 1 bed · 2 shared baths,242570645,Albert,,Ward F (councilmember Jermaine D. Robinson),40.71137,-74.07659,Private room,73,1,106,2023-09-24,1.83,11,353,28,
33452821,Rental unit in Jersey City · ★4.89 · 2 bedrooms · 2 beds · 1 bath,252022334,Patricia,,Ward D (councilmember Michael Yun),40.74879,-74.04255,Entire home/apt,120,1,443,2023-12-17,7.88,1,152,109,
33545383,Home in Jersey City · ★4.57 · 1 bedroom · 1 bed · 1 private bath,242570645,Albert,,Ward F (councilmember Jermaine D. Robinson),40.71089,-74.07637,Private room,73,1,47,2023-11-19,0.82,11,359,17,
33546602,Home in Jersey City · ★4.41 · 1 bedroom · 1 bed · 2 shared baths,242570645,Albert,,Ward F (councilmember Jermaine D. Robinson),40.70973,-74.07641,Private room,81,1,98,2023-12-06,1.74,11,359,19,
33548058,Home in Jersey City · ★4.52 · 1 bedroom · 1 bed · 1 shared bath,242570645,Albert,,Ward F (councilmember Jermaine D. Robinson),40.70976,-74.07518,Private room,59,1,110,2023-10-22,1.92,11,358,27,
33549328,Home in Jersey City · ★4.58 · 1 bedroom · 1 bed · 2 shared baths,242570645,Albert,,Ward F (councilmember Jermaine D. Robinson),40.71122,-74.07535,Private room,61,1,162,2023-12-03,2.96,11,354,38,
33871665,Home in Jersey City · ★4.49 · 1 bedroom · 1 bed · 1 shared bath,242570645,Albert,,Ward F (councilmember Jermaine D. Robinson),40.71132,-74.07532,Private room,60,1,103,2023-10-27,1.81,11,358,6,
33995856,Rental unit in Jersey City · ★4.68 · Studio · 2 beds · 1 bath,411667125,Christalo,,Ward D (councilmember Michael Yun),40.74828,-74.05128,Entire home/apt,116,3,69,2023-12-16,2.25,1,166,27,
34089788,Rental unit in Jersey City · ★4.44 · 1 bedroom · 2 beds · 1 bath,219110281,Teddy,,Ward E (councilmember James Solomon),40.72035,-74.04299,Entire home/apt,110,2,32,2022-06-21,0.58,1,19,0,
34226414,Rental unit in Jersey City · ★4.87 · Studio · 4 beds · 1 bath,213155791,Lizet,,Ward F (councilmember Jermaine D. Robinson),40.71767,-74.06854,Entire home/apt,122,3,132,2023-12-09,2.36,2,155,54,
