id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49347235,Home in Saint Paul · ★4.72 · 2 bedrooms · 2 beds · 1 bath,6700659,Tim,,Ramsey,44.92695,-93.08183,Entire home/apt,75,2,47,2023-05-05,1.47,1,320,9,
49364255,Guest suite in Minneapolis · ★4.95 · 1 bedroom · 1 bed · 1 bath,30014090,Alyson,,Hennepin,44.9101,-93.27866,Entire home/apt,81,2,148,2023-11-26,4.97,1,0,61,STR-394653
49387459,Farm stay in Stillwater · ★4.87 · 2 bedrooms · 5 beds · 1 bath,72307106,Larina,,Washington,45.08601,-92.90023,Entire home/apt,321,2,39,2023-08-13,1.24,1,173,6,
49398910,Guest suite in Eagan · ★4.86 · 2 bedrooms · 2 beds · 1 bath,113900530,Pete,,Dakota,44.78027,-93.20318,Entire home/apt,80,3,79,2023-11-26,2.47,1,165,18,
49402331,Home in Ellsworth · ★5.0 · 2 bedrooms · 4 beds · 2 baths,386890937,Mark,,Pierce,44.72382,-92.32925,Entire home/apt,141,3,20,2023-10-08,0.64,2,362,8,
49419771,Guest suite in Minneapolis · ★4.99 · Studio · 1 bed · 1 bath,1678987,Robyn,,Hennepin,44.90461,-93.2297,Entire home/apt,100,2,85,2023-11-27,2.91,1,106,24,LIC-393415
49422752,Home in Saint Paul · ★4.96 · 1 bedroom · 3 beds · 2 baths,79128867,Natasha,,Ramsey,44.94125,-93.10396,Entire home/apt,165,2,45,2023-10-22,1.47,3,0,12,
49437213,Condo in Minneapolis · ★4.83 · 2 bedrooms · 4 beds · 1 bath,37320554,Adam,,Hennepin,44.96165,-93.22703,Entire home/apt,135,7,18,2023-07-04,0.59,5,159,1,STR-393855
49437227,Condo in Minneapolis · ★4.74 · 2 bedrooms · 4 beds · 1 bath,37320554,Adam,,Hennepin,44.96297,-93.22877,Entire home/apt,130,3,27,2023-11-25,0.85,5,176,6,STR-393855
49440578,Rental unit in Saint Paul · ★5.0 · 1 bedroom · 2 beds · 1 bath,35488042,Adam,,Ramsey,44.94789,-93.1266,Entire home/apt,150,5,5,2023-09-20,0.16,2,365,2,
49443691,Home in Bloomington · ★5.0 · 4 bedrooms · 5 beds · 2 baths,94109139,Ray,,Hennepin,44.85449,-93.34156,Entire home/apt,260,28,6,2022-12-30,0.21,4,310,1,
49445691,Home in Minneapolis · ★4.86 · 3 bedrooms · 3 beds · 1 bath,101442521,Kyle,,Hennepin,44.94954,-93.32701,Entire home/apt,131,2,65,2023-11-13,2.05,1,308,30,STR-397108
49463437,Home in Chaska · ★5.0 · 6 bedrooms · 6 beds · 3.5 baths,398919826,Lee,,Carver,44.83108,-93.57989,Entire home/apt,1475,3,13,2023-08-27,0.42,1,362,2,
49463708,Guesthouse in Minneapolis · ★4.94 · 1 bedroom · 2 beds · 1 bath,34307244,Alyssa,,Hennepin,44.94659,-93.28689,Entire home/apt,121,3,94,2023-12-04,3.35,1,161,36,STR-393916
49481021,Condo in Minneapolis · ★4.71 · 2 bedrooms · 4 beds · 1 bath,37320554,Adam,,Hennepin,44.96356,-93.22673,Entire home/apt,138,3,48,2023-11-26,1.50,5,180,7,STR-393855
49505065,Boutique hotel in Minneapolis · ★4.47 · 1 bedroom · 1 bed · 1 private bath,399276309,The Chambers Hotel,,Hennepin,44.97694,-93.27777,Private room,329,1,17,2023-03-11,0.69,2,341,3,Exempt
49513089,Rental unit in Minneapolis · ★4.82 · Studio · 1 bed · 1 bath,57655643,Chris,,Hennepin,44.97137451171875,-93.26481628417969,Entire home/apt,80,2,130,2023-11-12,4.20,23,82,42,LIC-120999
49516050,Rental unit in Minneapolis · ★3.67 · 2 bedrooms · 2 beds · 1 bath,201379586,Harmala,,Hennepin,44.9505,-93.26316,Entire home/apt,129,30,3,2023-08-20,0.18,7,365,2,
49551203,Guest suite in Minneapolis · ★4.99 · 1 bedroom · 2 beds · 1 bath,5555683,Tessa,,Hennepin,44.98985,-93.31547,Entire home/apt,140,2,100,2023-11-20,3.17,1,0,34,Exempt
49551592,Home in Saint Paul · ★4.98 · 3 bedrooms · 4 beds · 2 baths,76210818,Michael,,Ramsey,44.94615,-93.17627,Entire home/apt,196,3,45,2023-09-18,1.87,1,321,19,
49559860,Rental unit in Richfield · ★4.95 · Studio · 2 beds · 1 bath,393779688,Chris &KaReesha,,Hennepin,44.88736,-93.28789,Entire home/apt,101,2,61,2023-09-23,1.93,5,255,9,
49566044,Home in Minneapolis · ★4.53 · 3 bedrooms · 3 beds · 2 baths,3937768,Normaliz,,Hennepin,44.90474,-93.26595,Entire home/apt,194,3,17,2023-06-18,0.54,2,351,1,STR-396795
49571813,Home in Minneapolis · ★4.91 · 3 bedrooms · 3 beds · 2 baths,399893455,Elena,,Hennepin,45.04279,-93.37978,Entire home/apt,165,2,64,2023-10-23,2.03,1,356,19,
49584305,Condo in Minneapolis · ★5.0 · 1 bedroom · 1 bed · 1 bath,35667837,Pamela,,Hennepin,44.94498,-93.32465,Entire home/apt,135,30,6,2023-08-31,0.19,1,178,1,
49597810,Cabin in Marine on Saint Croix · 3 bedrooms · 5 beds · 2 baths,244589630,Jill,,Washington,45.21742,-92.87719,Entire home/apt,250,2,0,,,1,365,0,
49606675,Home in South Saint Paul · ★New · 3 bedrooms · 4 beds · 2 baths,259682211,Tatiana,,Dakota,44.877647236630146,-93.04258277598663,Entire home/apt,150,5,0,,,3,337,0,
49628820,Boutique hotel in Minneapolis · ★4.82 · 1 bedroom · 1 private bath,399276309,The Chambers Hotel,,Hennepin,44.97558,-93.27603,Private room,341,1,11,2023-05-21,0.49,2,341,1,Exempt
49632426,Guest suite in Victoria · ★4.81 · 2 bedrooms · 3 beds · 1 bath,290227685,Teresa &  Tom,,Carver,44.86078,-93.66389,Entire home/apt,99,2,64,2023-10-22,2.02,1,15,13,
